CUSTOMER_ID,TIMEON_SITE,PAGES_VISITED,CART_ADDITIONS,PURCHASE_MADE,DEVICE_TYPE,REFERRAL_SOURCE
99,268,4,1,2,Mobile,Google
15,140,6,3,2,Desktop,Google
156,291,7,5,2,Tablet,Email
137,104,9,5,1,Mobile,Email
148,101,1,1,4,Tablet,Email
75,126,1,3,2,Tablet,Email
22,223,8,3,0,Tablet,Google
71,275,6,2,1,Tablet,Direct
162,237,1,5,5,Desktop,Google
118,262,7,5,3,Mobile,Facebook
40,215,3,4,0,Tablet,Google
26,287,9,5,1,Desktop,Email
16,282,9,4,1,Desktop,Google
190,110,8,4,2,Mobile,Email
144,61,6,2,0,Mobile,Facebook
105,178,9,1,3,Desktop,Facebook
101,165,7,1,3,Mobile,Direct
7,209,6,3,1,Tablet,Direct
6,193,2,4,4,Tablet,Facebook
26,194,9,4,1,Desktop,Email
141,229,1,4,2,Mobile,Direct
186,256,3,2,1,Mobile,Direct
25,270,3,5,5,Desktop,Facebook
131,198,4,4,2,Desktop,Google
61,252,8,4,3,Tablet,Facebook
83,167,1,2,1,Desktop,Direct
185,64,6,3,3,Desktop,Google
110,171,1,2,1,Desktop,Facebook
32,292,8,4,0,Tablet,Email
10,135,4,2,4,Tablet,Email
6,203,6,3,0,Desktop,Email
75,114,9,2,3,Desktop,Google
18,199,3,5,2,Mobile,Direct
3,64,2,2,0,Mobile,Email
145,210,1,3,4,Mobile,Facebook
43,185,4,5,4,Mobile,Email
144,66,4,4,5,Mobile,Direct
18,119,8,3,0,Tablet,Direct
79,291,8,5,2,Mobile,Facebook
187,232,9,4,1,Desktop,Google
199,133,6,1,0,Tablet,Email
75,199,6,4,5,Desktop,Facebook
118,78,1,1,4,Tablet,Email
157,240,5,2,2,Mobile,Google
173,159,1,1,0,Mobile,Google
6,252,3,2,2,Mobile,Email
191,115,4,1,5,Tablet,Facebook
78,124,4,2,2,Desktop,Google
24,224,7,4,0,Mobile,Direct
146,108,7,5,4,Tablet,Direct
93,283,6,3,2,Mobile,Google
33,118,8,5,4,Desktop,Google
42,99,6,2,2,Mobile,Facebook
94,97,7,5,2,Tablet,Email
3,242,5,2,5,Desktop,Facebook
146,280,3,2,5,Tablet,Email
70,184,3,5,5,Tablet,Facebook
180,65,5,4,4,Mobile,Direct
22,214,3,4,0,Tablet,Email
142,75,5,2,4,Mobile,Email
4,279,7,1,2,Mobile,Direct
27,243,9,3,0,Desktop,Facebook
75,198,9,4,5,Mobile,Direct
8,129,8,1,2,Desktop,Email
6,205,2,2,4,Desktop,Google
26,267,4,2,0,Tablet,Facebook
82,108,3,2,2,Mobile,Facebook
78,145,3,4,5,Desktop,Google
115,180,5,1,3,Mobile,Facebook
138,98,9,5,2,Mobile,Email
161,114,2,4,2,Desktop,Facebook
114,274,7,5,2,Desktop,Email
17,226,2,2,3,Mobile,Google
40,259,3,2,1,Mobile,Google
82,172,7,3,0,Desktop,Facebook
42,296,1,5,0,Desktop,Google
60,221,4,4,3,Desktop,Direct
123,83,7,2,5,Mobile,Email
127,265,3,5,3,Tablet,Facebook
158,234,4,4,1,Mobile,Google
36,183,3,3,4,Mobile,Email
136,185,3,5,5,Tablet,Facebook
176,163,2,4,0,Tablet,Facebook
19,231,5,2,5,Mobile,Google
48,212,5,3,4,Tablet,Facebook
181,218,2,2,1,Tablet,Facebook
10,252,8,4,0,Mobile,Email
38,221,8,3,3,Tablet,Google
9,192,4,5,3,Desktop,Email
60,179,7,2,2,Tablet,Facebook
188,153,5,1,0,Mobile,Facebook
151,96,4,4,0,Desktop,Facebook
52,137,9,5,1,Tablet,Facebook
78,215,4,5,4,Mobile,Email
54,130,3,3,1,Tablet,Google
155,222,9,3,0,Mobile,Direct
167,165,1,5,0,Mobile,Email
9,285,7,2,2,Tablet,Email
14,220,9,2,5,Mobile,Email
159,65,7,1,1,Mobile,Google
184,153,2,4,2,Tablet,Facebook
56,99,9,5,4,Tablet,Direct
186,204,4,2,3,Mobile,Facebook
79,171,6,1,4,Mobile,Direct
155,224,3,3,2,Tablet,Email
178,259,6,3,0,Mobile,Email
125,182,9,1,1,Desktop,Email
126,186,8,1,5,Desktop,Google
113,186,1,5,1,Mobile,Google
69,119,4,5,1,Desktop,Facebook
130,135,1,3,2,Mobile,Direct
57,147,3,1,2,Tablet,Facebook
151,272,1,4,4,Tablet,Google
101,93,2,2,5,Mobile,Google
153,287,5,2,2,Mobile,Facebook
118,209,8,2,5,Mobile,Google
41,168,4,5,2,Mobile,Email
137,256,5,5,1,Desktop,Direct
194,194,6,5,2,Desktop,Direct
143,206,1,4,1,Desktop,Direct
118,173,2,5,3,Mobile,Email
193,287,8,1,5,Desktop,Google
30,172,6,2,4,Desktop,Direct
88,92,4,2,2,Tablet,Facebook
49,182,8,5,5,Desktop,Google
168,84,4,3,0,Mobile,Google
139,80,1,3,3,Tablet,Email
69,68,2,2,3,Tablet,Facebook
128,260,2,1,1,Desktop,Direct
186,237,8,3,1,Tablet,Google
86,250,8,5,5,Mobile,Facebook
37,217,6,2,0,Mobile,Email
68,263,2,4,5,Mobile,Facebook
146,143,2,3,2,Tablet,Facebook
9,204,4,3,4,Desktop,Direct
185,114,2,1,3,Tablet,Facebook
142,113,6,3,2,Desktop,Facebook
116,133,3,2,5,Mobile,Direct
101,169,8,1,4,Desktop,Facebook
35,270,3,2,0,Tablet,Email
105,126,2,1,4,Tablet,Facebook
151,218,3,4,3,Desktop,Email
157,160,3,1,0,Desktop,Facebook
188,114,5,1,5,Tablet,Direct
97,125,3,3,1,Tablet,Email
130,297,7,4,2,Tablet,Facebook
147,297,2,2,2,Tablet,Facebook
86,104,7,3,0,Desktop,Email
173,283,9,3,1,Mobile,Facebook
85,231,6,5,0,Mobile,Direct
60,172,4,4,4,Desktop,Direct
45,118,3,2,0,Mobile,Facebook
152,223,9,3,0,Desktop,Email
55,100,3,2,1,Tablet,Email
65,209,2,2,0,Desktop,Facebook
51,188,3,3,4,Tablet,Google
100,81,2,2,0,Mobile,Google
116,149,6,4,0,Tablet,Google
12,143,9,4,5,Tablet,Facebook
36,97,4,1,0,Tablet,Email
