Student_ID,Daily_Screen_Time,Academic_Usage,Social_Media_Usage,Gaming_Usage,Device_Type,Internet_Access_Type,Peak_Usage_Hours
1,104,13,37,10,iOS,Wi-Fi,5
2,569,27,28,32,iOS,Mobile Data,19
3,78,34,50,12,iOS,Wi-Fi,10
4,386,65,14,35,iOS,Wi-Fi,3
5,439,32,55,23,iOS,Wi-Fi,3
6,598,24,17,13,Android,Wi-Fi,20
7,369,31,33,23,iOS,Mobile Data,6
8,202,54,30,5,iOS,Wi-Fi,4
9,525,59,42,18,Android,Wi-Fi,16
10,579,33,44,39,Android,Mobile Data,19
11,365,11,26,26,Android,Wi-Fi,5
12,159,27,10,14,Android,Wi-Fi,6
13,276,68,30,21,Android,Mobile Data,5
14,459,67,19,13,iOS,Wi-Fi,9
15,167,43,16,10,Android,Mobile Data,5
16,598,22,11,14,Android,Mobile Data,6
17,483,43,26,22,Android,Wi-Fi,18
18,596,19,45,27,iOS,Wi-Fi,2
19,280,66,40,33,Android,Wi-Fi,8
20,355,24,41,19,iOS,Mobile Data,16
21,377,46,25,13,Android,Mobile Data,23
22,527,22,30,9,iOS,Wi-Fi,15
23,371,44,40,39,iOS,Wi-Fi,14
24,259,33,57,35,Android,Wi-Fi,7
25,82,66,45,14,Android,Wi-Fi,3
26,213,17,16,31,iOS,Mobile Data,3
27,443,64,32,30,Android,Wi-Fi,1
28,90,37,32,14,iOS,Mobile Data,5
29,412,69,55,20,iOS,Wi-Fi,15
30,432,65,40,34,iOS,Mobile Data,13
31,279,51,52,30,iOS,Mobile Data,14
32,171,33,15,31,iOS,Wi-Fi,4
33,495,61,40,38,Android,Mobile Data,16
34,480,25,42,14,iOS,Mobile Data,14
35,201,57,25,35,iOS,Wi-Fi,6
36,331,12,21,19,iOS,Wi-Fi,12
37,290,10,15,8,iOS,Wi-Fi,4
38,299,20,41,8,iOS,Wi-Fi,21
39,111,32,37,7,Android,Mobile Data,4
40,67,16,42,34,Android,Mobile Data,23
41,484,33,37,12,Android,Wi-Fi,4
42,513,55,56,21,iOS,Mobile Data,16
43,388,59,42,13,Android,Mobile Data,15
44,392,16,26,39,Android,Mobile Data,7
45,510,69,20,30,iOS,Wi-Fi,16
46,187,34,57,29,Android,Wi-Fi,19
47,92,15,49,27,Android,Wi-Fi,20
48,185,20,39,10,Android,Mobile Data,14
49,544,62,33,39,iOS,Wi-Fi,20
50,295,11,28,10,Android,Mobile Data,15
51,314,30,10,12,iOS,Mobile Data,18
52,582,58,16,33,iOS,Mobile Data,7
53,343,37,53,16,Android,Wi-Fi,15
54,218,52,50,28,iOS,Wi-Fi,22
55,596,61,48,26,Android,Wi-Fi,1
56,188,24,14,36,iOS,Wi-Fi,5
57,280,57,37,26,Android,Mobile Data,18
58,158,42,56,37,iOS,Wi-Fi,22
59,372,56,18,18,iOS,Mobile Data,2
60,71,68,41,23,Android,Wi-Fi,10
61,421,60,34,6,iOS,Mobile Data,13
62,406,41,28,32,iOS,Mobile Data,20
63,129,57,23,20,iOS,Wi-Fi,13
64,63,23,44,32,iOS,Mobile Data,23
65,500,21,13,32,Android,Mobile Data,5
66,318,46,56,28,Android,Mobile Data,22
67,457,36,48,9,iOS,Wi-Fi,4
68,334,48,47,33,iOS,Mobile Data,2
69,140,60,44,22,Android,Mobile Data,13
70,458,33,21,30,iOS,Wi-Fi,9
71,68,61,40,38,Android,Wi-Fi,2
72,192,42,48,29,Android,Wi-Fi,3
73,492,12,24,18,Android,Wi-Fi,11
74,259,53,26,21,Android,Mobile Data,19
75,231,18,57,35,iOS,Mobile Data,22
76,457,30,15,13,Android,Mobile Data,15
77,486,61,44,17,iOS,Mobile Data,21
78,428,26,10,6,Android,Mobile Data,5
79,511,67,41,9,Android,Mobile Data,13
80,309,29,48,14,Android,Wi-Fi,22
81,426,63,48,36,Android,Mobile Data,22
82,355,51,17,9,iOS,Mobile Data,18
83,530,21,14,7,Android,Wi-Fi,7
84,98,41,42,37,Android,Mobile Data,10
85,222,61,32,12,Android,Wi-Fi,14
86,548,61,55,18,Android,Wi-Fi,7
87,511,65,10,7,Android,Wi-Fi,15
88,259,24,32,16,Android,Mobile Data,3
89,247,58,11,29,Android,Wi-Fi,13
90,272,38,34,25,Android,Wi-Fi,13
91,479,43,23,32,iOS,Mobile Data,8
92,198,42,48,29,iOS,Wi-Fi,13
93,550,22,18,20,iOS,Wi-Fi,15
94,476,60,34,22,Android,Mobile Data,20
95,319,57,17,33,iOS,Mobile Data,7
96,472,43,39,11,iOS,Wi-Fi,4
97,562,14,38,15,Android,Wi-Fi,1
98,580,50,38,29,iOS,Mobile Data,9
99,363,65,54,5,iOS,Wi-Fi,17
100,424,65,25,8,iOS,Mobile Data,16
101,244,47,20,11,iOS,Wi-Fi,13
102,79,16,37,8,Android,Wi-Fi,8
103,421,13,14,29,Android,Wi-Fi,23
104,250,40,37,38,iOS,Mobile Data,5
105,383,23,59,11,iOS,Mobile Data,11
106,523,10,53,38,iOS,Wi-Fi,20
107,358,52,14,35,iOS,Mobile Data,15
108,586,41,13,33,Android,Mobile Data,6
109,384,42,52,32,iOS,Mobile Data,1
110,385,49,30,7,iOS,Mobile Data,17
111,365,28,58,39,Android,Wi-Fi,13
112,493,63,45,15,iOS,Mobile Data,1
113,435,50,34,22,Android,Mobile Data,8
114,110,19,44,38,iOS,Wi-Fi,22
115,508,48,56,14,Android,Mobile Data,8
116,184,11,44,33,Android,Wi-Fi,23
117,362,67,34,5,iOS,Mobile Data,19
118,421,48,25,35,Android,Mobile Data,11
119,570,54,36,18,iOS,Wi-Fi,19
120,325,62,11,25,iOS,Mobile Data,3
121,216,18,12,8,Android,Mobile Data,5
122,340,64,54,17,Android,Wi-Fi,23
123,577,53,12,17,iOS,Mobile Data,10
124,158,24,45,30,iOS,Mobile Data,15
125,183,33,15,20,Android,Wi-Fi,21
126,325,17,38,8,Android,Wi-Fi,17
127,596,69,48,34,Android,Wi-Fi,13
128,517,58,53,9,Android,Mobile Data,6
129,242,39,39,39,Android,Wi-Fi,6
130,374,31,13,18,Android,Wi-Fi,12
131,593,46,26,17,Android,Mobile Data,15
132,574,40,55,14,iOS,Wi-Fi,12
133,119,49,27,16,Android,Wi-Fi,3
134,241,29,47,17,iOS,Mobile Data,5
135,258,20,16,24,Android,Mobile Data,21
136,414,31,12,20,Android,Wi-Fi,15
137,374,48,27,20,iOS,Mobile Data,20
138,250,60,28,31,iOS,Wi-Fi,21
139,187,38,23,29,iOS,Wi-Fi,11
140,90,19,26,5,Android,Wi-Fi,6
141,450,43,14,19,Android,Wi-Fi,1
142,549,14,45,18,iOS,Wi-Fi,11
143,463,10,47,29,Android,Mobile Data,22
144,482,26,19,25,iOS,Mobile Data,16
145,233,15,17,36,iOS,Mobile Data,15
146,162,29,42,32,Android,Wi-Fi,7
147,448,18,46,10,iOS,Wi-Fi,20
148,286,34,51,27,iOS,Mobile Data,18
149,257,53,48,22,iOS,Mobile Data,17
150,575,37,49,32,Android,Mobile Data,5
151,141,54,26,16,iOS,Wi-Fi,17
152,105,41,45,35,Android,Mobile Data,9
153,499,23,50,37,Android,Mobile Data,7
154,135,15,13,20,iOS,Mobile Data,20
155,394,52,23,25,iOS,Mobile Data,2
156,547,69,35,29,iOS,Mobile Data,12
157,454,35,38,34,iOS,Wi-Fi,7
158,174,45,33,8,Android,Wi-Fi,10
159,451,36,26,14,iOS,Mobile Data,23
160,587,47,10,23,iOS,Wi-Fi,8
161,157,38,40,10,iOS,Wi-Fi,18
162,165,61,24,36,Android,Mobile Data,22
163,226,56,25,38,iOS,Wi-Fi,17
164,396,35,38,12,iOS,Mobile Data,18
165,69,46,54,28,Android,Mobile Data,17
166,285,25,55,17,iOS,Mobile Data,3
167,458,63,11,11,Android,Wi-Fi,3
168,429,46,41,32,Android,Wi-Fi,9
169,328,46,47,17,Android,Wi-Fi,4
170,106,20,27,20,Android,Mobile Data,21
171,424,15,20,5,iOS,Wi-Fi,6
172,473,24,12,19,Android,Wi-Fi,1
173,487,39,21,6,iOS,Mobile Data,1
174,184,15,36,22,Android,Mobile Data,18
175,486,26,18,29,iOS,Mobile Data,7
176,315,43,10,7,Android,Wi-Fi,4
177,503,65,24,30,iOS,Wi-Fi,23
178,539,35,55,30,Android,Mobile Data,15
179,106,39,11,16,iOS,Mobile Data,19
180,217,49,46,14,Android,Wi-Fi,6
181,561,28,27,23,iOS,Wi-Fi,14
182,233,53,11,31,iOS,Wi-Fi,12
183,121,47,24,31,iOS,Mobile Data,14
184,337,59,24,25,iOS,Mobile Data,20
185,543,36,28,23,Android,Mobile Data,6
186,242,53,25,20,Android,Mobile Data,19
187,567,61,49,5,iOS,Wi-Fi,1
188,261,44,41,32,Android,Wi-Fi,23
189,497,36,33,34,Android,Wi-Fi,6
190,151,68,50,35,Android,Mobile Data,7
191,104,14,25,10,Android,Wi-Fi,17
192,406,29,20,8,iOS,Mobile Data,22
193,315,65,53,26,iOS,Mobile Data,12
194,157,48,23,22,Android,Mobile Data,19
195,174,38,32,25,Android,Wi-Fi,15
196,191,18,12,39,iOS,Wi-Fi,4
197,396,14,17,38,Android,Mobile Data,8
198,494,10,41,29,Android,Mobile Data,14
199,278,27,21,20,Android,Wi-Fi,14
200,189,49,48,13,iOS,Wi-Fi,22
