student_id,age,gender,daily_screen_time_min,num_apps_installed,social_min,gaming_min,productivity_min,study_min,other_min,call_min,sms_count,data_usage_mb,peak_usage_hour
1,24,Male,491,43,102,283,12,92,2,7,4,282,8
2,21,Male,393,34,85,49,103,26,130,5,3,607,22
3,30,Female,163,33,63,3,3,27,67,6,0,608,3
4,28,Female,256,33,90,53,3,99,11,0,5,5,4
5,25,Male,414,31,78,185,55,22,74,15,3,418,23
6,30,Female,236,34,54,80,32,50,20,9,2,788,19
7,22,Male,340,40,78,75,6,128,53,8,0,370,21
8,24,Male,370,42,185,15,88,46,36,9,1,230,11
9,27,Male,217,27,57,60,51,8,41,13,0,341,19
10,20,Male,295,46,104,77,7,92,15,4,2,483,18
11,24,Female,30,33,8,0,0,9,13,1,0,287,18
12,28,Male,208,37,51,61,1,50,45,5,0,808,19
13,28,Female,277,42,19,17,129,107,5,7,2,484,18
14,25,Female,188,39,21,83,24,45,15,7,2,361,13
15,22,Male,447,23,176,134,16,64,57,4,1,175,9
16,21,Other,171,40,29,44,37,39,22,0,2,621,20
17,25,Other,260,31,88,83,4,56,29,2,1,615,7
18,25,Male,312,41,191,12,37,72,0,13,1,302,19
19,20,Female,430,35,116,203,41,25,45,4,1,5,8
20,23,Male,171,34,15,17,3,130,6,4,4,603,18
21,22,Male,405,42,148,58,46,97,56,2,0,453,20
22,19,Male,301,46,34,51,34,148,34,2,2,584,7
23,25,Female,212,30,67,30,19,78,18,11,0,989,2
24,29,Female,342,42,51,26,199,20,46,5,1,493,4
25,23,Male,318,39,58,96,57,106,1,8,1,372,18
26,19,Male,246,36,34,66,28,102,16,3,1,213,21
27,29,Female,306,43,13,158,75,36,24,5,1,422,1
28,22,Male,265,42,68,68,3,75,51,1,5,540,20
29,18,Male,310,30,85,25,82,89,29,6,1,513,11
30,29,Female,360,35,26,132,187,9,6,3,1,931,14
31,27,Other,443,33,97,47,69,222,8,3,0,625,23
32,23,Male,189,29,30,106,20,20,13,5,3,466,11
33,30,Female,492,31,292,99,50,49,2,14,2,323,14
34,29,Female,124,47,68,27,14,10,5,0,0,567,0
35,26,Male,286,33,92,47,83,24,40,9,1,273,2
36,18,Female,353,52,96,65,105,38,49,2,0,545,8
37,28,Male,325,41,57,6,4,128,130,3,2,622,0
38,28,Female,244,45,73,45,72,4,50,0,1,446,18
39,27,Female,281,37,38,141,41,47,14,2,1,342,13
40,29,Female,256,40,193,12,11,10,30,3,3,5,17
41,29,Male,247,31,88,33,57,19,50,0,3,786,6
42,20,Female,376,36,28,137,2,209,0,3,4,601,10
43,29,Male,332,32,74,70,149,29,10,13,2,607,19
44,24,Male,238,41,46,36,32,117,7,1,1,110,23
45,21,Male,381,37,151,73,75,63,19,7,3,845,1
46,26,Female,328,37,84,43,40,133,28,3,0,384,22
47,20,Female,373,35,136,133,54,28,22,5,5,428,18
48,22,Male,357,45,94,39,61,152,11,2,0,233,17
49,20,Female,225,39,43,47,35,88,12,1,2,53,15
50,24,Male,250,37,134,6,26,82,2,1,2,789,2
51,22,Female,367,31,23,105,157,45,37,0,3,822,3
52,26,Male,355,52,73,121,115,18,28,1,1,459,18
53,24,Female,298,28,83,128,2,57,28,5,2,330,11
54,19,Male,311,41,115,50,28,28,90,11,2,406,22
55,21,Female,415,32,88,77,61,184,5,8,1,413,13
56,26,Male,247,34,151,60,3,29,4,6,0,200,4
57,29,Male,349,33,58,22,70,12,187,1,5,427,20
58,19,Male,282,43,77,34,88,82,1,2,2,538,10
59,27,Female,280,37,101,8,40,127,4,2,0,755,16
60,26,Female,399,38,175,201,21,1,1,1,1,504,19
61,27,Male,374,39,126,103,27,88,30,4,3,106,22
62,22,Female,373,39,71,203,22,74,3,4,0,588,21
63,19,Female,417,45,161,45,37,79,95,2,0,436,19
64,21,Female,302,35,114,53,22,109,4,2,1,843,19
65,29,Female,361,38,231,16,60,10,44,9,4,857,23
66,29,Male,272,50,79,35,19,126,13,8,2,866,10
67,24,Male,329,42,47,58,128,78,18,2,1,360,0
68,29,Female,288,32,37,6,78,7,160,12,2,997,9
69,30,Female,309,42,85,4,43,127,50,15,4,588,7
70,25,Female,354,49,76,68,101,40,69,2,0,907,19
71,20,Male,226,32,112,29,1,13,71,2,1,374,18
72,18,Male,488,35,52,185,2,157,92,4,4,425,18
73,21,Female,209,37,14,13,40,46,96,14,1,569,0
74,19,Female,191,31,110,16,24,26,15,10,0,538,20
75,25,Female,404,32,243,67,55,33,6,1,1,814,11
76,21,Female,371,46,78,70,74,87,62,2,1,442,19
77,19,Female,356,34,42,11,212,91,0,4,0,791,17
78,23,Male,357,44,138,24,43,110,42,3,0,683,11
79,23,Male,299,44,85,119,31,61,3,1,4,447,4
