Transaction_ID,Customer_ID,Amount ($),Age,No_of_Transactions
T001,C202,245.5,54,14
T002,C448,164.16,50,16
T003,C370,232.34,59,14
T004,C206,307.16,61,12
T005,C171,383.44,41,19
T006,C288,395.24,32,15
T007,C120,420.26,49,2
T008,C202,384.9,49,2
T009,C221,356.47,41,19
T010,C314,156.88,58,17
T011,C430,230.1,29,10
T012,C187,264.97,56,6
T013,C472,87.3,19,15
T014,C199,287.77,20,11
T015,C459,246.35,54,5
T016,C251,410.95,34,1
T017,C230,490.06,19,8
T018,C249,300.2,19,12
T019,C408,195.21,45,12
T020,C357,69.53,40,5
T021,C443,466.09,54,7
T022,C393,463.6,49,4
T023,C485,163.85,50,6
T024,C291,362.94,18,13
T025,C376,83.95,36,15
T026,C260,124.8,19,3
T027,C413,147.56,61,8
T028,C121,182.52,43,16
T029,C352,498.12,49,13
T030,C335,363.62,23,18
T031,C444,222.89,49,10
T032,C148,381.7,21,19
T033,C158,461.86,28,17
T034,C269,481.42,34,19
T035,C287,76.04,55,5
T036,C370,227.53,41,9
T037,C289,98.04,22,12
T038,C274,201.05,51,1
T039,C150,126.36,23,1
T040,C463,341.08,39,15
T041,C154,224.72,28,2
T042,C343,153.23,33,16
T043,C419,169.67,50,8
T044,C230,212.16,26,13
T045,C406,166.98,23,1
T046,C234,253.96,33,16
T047,C120,64.54,46,7
T048,C428,175.89,20,5
T049,C266,235.04,37,3
T050,C373,321.25,53,12
T051,C487,171.93,36,16
T052,C188,109.93,43,19
T053,C415,84.29,20,5
T054,C113,473.24,36,14
T055,C341,237.49,37,5
T056,C364,311.52,49,15
T057,C445,463.63,24,17
T058,C152,87.24,58,14
T059,C485,444.5,50,5
T060,C439,298.21,57,12
T061,C191,124.18,56,16
T062,C466,235.06,35,16
T063,C363,399.92,57,7
T064,C134,266.17,18,4
T065,C305,493.38,28,1
T066,C180,219.53,45,5
T067,C149,387.31,42,10
T068,C459,226.85,40,5
T069,C487,423.12,48,4
T070,C101,306.09,47,2
T071,C489,78.58,59,10
T072,C153,66.57,52,19
T073,C205,110.23,24,1
T074,C359,56.15,33,5
T075,C409,83.91,43,13
T076,C290,361.27,19,4
T077,C317,290.46,18,16
T078,C143,387.46,29,16
T079,C261,460.92,22,2
T080,C301,313.32,54,17
T081,C369,376.75,49,12
T082,C450,390.69,26,18
T083,C403,220.03,58,3
T084,C370,158.49,52,1
T085,C314,142.27,36,1
T086,C351,163.15,33,19
T087,C289,173.63,20,11
T088,C395,143.25,37,5
T089,C312,445.2,41,12
T090,C307,390.65,50,3
T091,C336,71.1,41,1
T092,C437,170.9,28,1
T093,C466,59.98,25,8
T094,C152,274.17,53,10
T095,C379,264.29,55,11
T096,C316,424.12,57,12
T097,C351,188.5,37,13
T098,C287,417.37,52,12
T099,C479,485.59,42,14
T100,C140,89.78,52,2
T101,C256,406.32,42,19
T102,C114,315.48,46,18
T103,C400,266.02,35,3
T104,C164,239.24,63,17
T105,C444,403.1,35,8
T106,C426,337.71,19,10
T107,C108,412.27,52,2
T108,C443,456.42,33,19
T109,C228,327.77,58,9
T110,C235,491.21,53,7
T111,C162,323.64,50,4
T112,C238,336.49,21,18
T113,C180,299.67,50,13
T114,C491,90.95,31,11
T115,C262,376.88,38,4
T116,C388,296.35,37,4
T117,C478,252.91,25,10
T118,C360,459.71,24,5
T119,C330,184.08,20,9
T120,C140,285.62,34,3
T121,C127,363.94,50,17
T122,C234,408.41,29,3
T123,C300,256.71,39,16
T124,C427,428.94,39,4
T125,C367,396.01,63,18
T126,C132,79.81,47,17
T127,C147,70.64,55,7
T128,C161,329.36,55,5
T129,C315,206.34,62,12
T130,C392,144.11,25,17
T131,C198,310.84,44,13
T132,C271,203.7,44,3
T133,C459,291.77,51,9
T134,C313,257.05,38,17
T135,C134,313.14,47,17
T136,C326,230.14,50,16
T137,C200,363.95,45,13
T138,C230,131.03,64,19
T139,C356,363.43,50,17
T140,C104,235.25,22,4
T141,C317,443.44,36,12
T142,C354,281.86,21,9
T143,C497,487.9,52,19
T144,C458,320.87,34,12
T145,C382,150.73,61,9
T146,C492,419.81,45,7
T147,C306,205.29,47,14
T148,C114,206.43,46,19
T149,C445,64.31,63,15
T150,C141,296.92,23,16
T151,C479,290.49,52,5
T152,C278,210.2,58,3
T153,C162,452.4,54,12
T154,C451,107.94,41,4
T155,C330,198.54,46,16
T156,C340,194.71,63,7
T157,C151,91.53,48,13
T158,C195,266.52,52,10
T159,C487,359.5,50,7
T160,C321,280.25,38,14
T161,C330,120.64,49,5
T162,C336,219.78,40,3
T163,C242,51.17,50,11
T164,C270,440.74,20,11
T165,C128,88.03,35,18
T166,C135,318.78,42,15
T167,C112,493.82,59,12
T168,C259,291.47,48,9
T169,C426,465.82,20,10
T170,C286,156.25,57,12
T171,C342,391.98,63,17
T172,C185,289.07,41,6
T173,C383,374.23,49,7
T174,C165,78.05,64,14
T175,C269,116.48,39,13
T176,C144,109.9,40,8
T177,C161,359.22,19,10
T178,C233,430.0,44,9
T179,C383,387.33,59,18
T180,C127,63.71,19,2
T181,C207,18008.22,43,5
T182,C143,10312.2,34,5
T183,C439,10957.46,57,6
T184,C385,6573.04,50,19
T185,C430,16061.08,26,8
T186,C227,7734.26,60,16
T187,C447,13459.48,56,13
T188,C330,17610.65,46,1
T189,C289,6338.06,59,17
T190,C324,13030.03,43,7
T191,C484,8498.25,52,13
T192,C476,10143.9,42,4
T193,C382,12109.55,41,4
T194,C220,10326.56,30,6
T195,C215,14732.34,24,19
T196,C332,12193.73,53,12
T197,C358,13762.99,62,7
T198,C458,16052.34,37,10
T199,C297,13366.13,18,19
T200,C236,13798.03,25,7
