House_ID,Price ($),Size (sq ft),No_of_Bedrooms,Age_of_House
H001,474229.3,3442,5,52
H002,342340.99,3272,2,35
H003,323481.56,3460,1,25
H004,280709.83,2341,4,28
H005,153801.42,2105,2,20
H006,129437.61,2561,1,10
H007,149218.79,2775,3,39
H008,133897.22,3162,5,10
H009,400813.01,1676,1,35
H010,207556.37,2789,3,58
H011,76029.2,2112,1,38
H012,486096.18,2260,5,98
H013,447703.65,3124,5,53
H014,467488.53,2533,2,97
H015,497708.52,2405,4,54
H016,128252.86,2326,1,23
H017,228308.91,3471,1,21
H018,391207.31,3363,3,68
H019,363209.28,3197,5,55
H020,119253.16,2430,1,32
H021,417124.91,1960,5,35
H022,150998.26,1558,1,19
H023,150717.93,1042,2,82
H024,291638.49,3390,4,98
H025,316822.97,1863,1,80
H026,311038.79,1028,5,61
H027,91169.08,3395,2,97
H028,444857.39,1719,1,72
H029,169520.02,2046,3,25
H030,108281.71,805,4,65
H031,449936.64,1267,1,72
H032,480043.17,2555,2,72
H033,437957.43,874,3,39
H034,414282.23,803,2,16
H035,344858.89,2670,2,0
H036,297885.82,1445,3,88
H037,89144.04,917,2,60
H038,233803.95,2429,3,42
H039,217709.83,3351,1,41
H040,166889.2,2821,3,24
H041,375539.05,1746,3,38
H042,273144.08,3421,4,34
H043,86470.8,2264,3,2
H044,149082.44,993,3,43
H045,357466.44,1646,1,50
H046,84258.89,2215,4,93
H047,433043.11,2258,5,97
H048,272815.94,3020,1,11
H049,266263.96,2468,1,18
H050,316583.5,3173,5,43
H051,421106.43,2233,3,58
H052,206514.14,1941,2,48
H053,355107.27,2610,4,60
H054,304579.38,1523,2,16
H055,170162.72,1024,5,73
H056,445383.49,1331,1,56
H057,408841.71,912,1,54
H058,346303.33,2987,4,46
H059,432761.78,1358,1,11
H060,440282.39,2848,1,61
H061,368763.34,2937,4,79
H062,426656,1453,4,87
H063,363862.16,1119,5,82
H064,356063.35,2373,1,7
H065,328375.12,2628,1,94
H066,388722.49,2717,5,20
H067,121372.3,938,3,80
H068,446391.84,2826,3,86
H069,442329.59,3106,3,79
H070,63161.28,1701,5,69
H071,421617.54,1489,1,71
H072,107991.44,2839,5,24
H073,200803.48,809,5,81
H074,384578.72,1060,3,88
H075,122341.95,2742,2,11
H076,418085.16,2473,1,14
H077,424460.38,3019,3,58
H078,278360.48,2860,2,25
H079,52873.64,1991,2,25
H080,179167.16,2419,4,46
H081,327617.11,1120,1,31
H082,491533.78,2142,2,9
H083,334316.09,2436,3,15
H084,166911.61,3176,4,70
H085,335302.57,2794,1,16
H086,292993.42,2743,5,22
H087,400930.43,2838,3,25
H088,98141.29,1918,2,84
H089,392462.56,2404,2,85
H090,293569.96,3165,3,6
H091,483346.4,1035,2,13
H092,203842.47,2769,4,78
H093,334679.85,1133,1,6
H094,469412.65,2708,4,8
H095,96129.38,1175,2,47
H096,471752.82,1960,5,71
H097,359548.58,3435,1,58
H098,80526.68,2370,1,86
H099,185433.61,3360,3,92
H100,368677.44,2119,3,81
H101,80307.77,2655,5,94
H102,311976.71,2172,1,93
H103,205647.38,1672,5,38
H104,329411.98,2052,3,98
H105,70583.92,3117,3,17
H106,442191.56,2651,1,58
H107,488070.04,2114,4,16
H108,485995.03,1524,2,13
H109,387343.32,2852,3,30
H110,108538.81,877,3,23
H111,391218.44,3421,4,98
H112,61064.11,931,4,59
H113,59955.6,1400,5,44
H114,195624.6,2572,5,97
H115,269889.44,1865,2,2
H116,396683.34,2936,2,36
H117,357482.92,3249,1,42
H118,250656.22,3143,5,39
H119,173132,2663,3,89
H120,498706.03,2118,5,54
H121,241781.59,1415,3,86
H122,253124.16,3269,4,38
H123,123630.72,2688,5,14
H124,407664.3,1846,4,3
H125,362157,1374,2,92
H126,149346.33,2990,2,85
H127,87071.47,1792,1,24
H128,356224.69,2992,5,12
H129,344530.05,2048,4,81
H130,172966.79,1302,3,32
H131,477888.6,2797,2,15
H132,117976.05,1620,2,41
H133,244550.66,2951,3,65
H134,474627.16,2770,4,54
H135,238877.29,997,4,98
H136,337336.68,2469,5,41
H137,228917.48,3426,5,33
H138,173396.84,3238,1,29
H139,492789.94,2002,2,12
H140,234200.3,3401,5,12
