Student_ID,Name,Gender,Math_Score,Science_Score,English_Score,Total_Score,Average_Score,Grade
S001,Student_1,M,67,51,80,198,66,D
S002,Student_2,F,75,91,79,245,81.66666667,B
S003,Student_3,M,93,94,91,278,92.66666667,A
S004,Student_4,M,83,55,84,222,74,C
S005,Student_5,M,59,77,56,192,64,D
S006,Student_6,F,85,77,65,227,75.66666667,C
S007,Student_7,M,63,93,75,231,77,C
S008,Student_8,M,80,93,97,270,90,A
S009,Student_9,M,97,69,98,264,88,B
S010,Student_10,F,64,79,51,194,64.66666667,D
S011,Student_11,M,57,60,50,167,55.66666667,F
S012,Student_12,M,63,77,97,237,79,C
S013,Student_13,M,72,74,61,207,69,D
S014,Student_14,M,89,88,54,231,77,C
S015,Student_15,F,70,82,86,238,79.33333333,C
S016,Student_16,M,65,50,81,196,65.33333333,D
S017,Student_17,F,94,76,58,228,76,C
S018,Student_18,F,67,62,90,219,73,C
S019,Student_19,F,96,90,84,270,90,A
S020,Student_20,M,73,52,68,193,64.33333333,D
S021,Student_21,F,75,88,97,260,86.66666667,B
S022,Student_22,M,74,55,65,194,64.66666667,D
S023,Student_23,F,94,57,52,203,67.66666667,D
S024,Student_24,F,90,76,69,235,78.33333333,C
S025,Student_25,F,78,58,73,209,69.66666667,D
S026,Student_26,F,64,86,82,232,77.33333333,C
S027,Student_27,F,94,82,73,249,83,B
S028,Student_28,F,50,91,60,201,67,D
S029,Student_29,F,74,93,98,265,88.33333333,B
S030,Student_30,F,56,73,57,186,62,D
S031,Student_31,M,58,64,85,207,69,D
S032,Student_32,M,73,81,87,241,80.33333333,B
S033,Student_33,F,50,81,89,220,73.33333333,C
S034,Student_34,F,93,73,69,235,78.33333333,C
S035,Student_35,F,57,90,84,231,77,C
S036,Student_36,M,73,98,97,268,89.33333333,B
S037,Student_37,F,60,98,74,232,77.33333333,C
S038,Student_38,M,66,61,84,211,70.33333333,C
S039,Student_39,M,57,88,74,219,73,C
S040,Student_40,M,84,51,78,213,71,C
S041,Student_41,M,84,52,67,203,67.66666667,D
S042,Student_42,M,82,98,95,275,91.66666667,A
S043,Student_43,F,54,86,67,207,69,D
S044,Student_44,F,91,98,51,240,80,B
S045,Student_45,F,88,66,84,238,79.33333333,C
S046,Student_46,F,90,98,65,253,84.33333333,B
S047,Student_47,F,77,51,90,218,72.66666667,C
S048,Student_48,M,56,51,85,192,64,D
S049,Student_49,F,58,77,82,217,72.33333333,C
S050,Student_50,F,57,72,53,182,60.66666667,D
S051,Student_51,M,61,86,82,229,76.33333333,C
S052,Student_52,F,83,81,63,227,75.66666667,C
S053,Student_53,M,82,82,70,234,78,C
S054,Student_54,F,97,50,97,244,81.33333333,B
S055,Student_55,M,72,68,69,209,69.66666667,D
S056,Student_56,F,73,51,57,181,60.33333333,D
S057,Student_57,F,86,93,56,235,78.33333333,C
S058,Student_58,M,84,75,52,211,70.33333333,C
S059,Student_59,M,93,81,66,240,80,B
S060,Student_60,M,89,55,82,226,75.33333333,C
S061,Student_61,M,71,81,97,249,83,B
S062,Student_62,M,76,53,61,190,63.33333333,D
S063,Student_63,M,84,60,71,215,71.66666667,C
S064,Student_64,M,50,66,71,187,62.33333333,D
S065,Student_65,M,84,87,95,266,88.66666667,B
S066,Student_66,F,86,73,79,238,79.33333333,C
S067,Student_67,F,96,54,87,237,79,C
S068,Student_68,M,63,83,87,233,77.66666667,C
S069,Student_69,F,52,55,94,201,67,D
S070,Student_70,F,50,71,57,178,59.33333333,F
S071,Student_71,F,54,60,76,190,63.33333333,D
S072,Student_72,F,75,97,76,248,82.66666667,B
S073,Student_73,M,63,65,83,211,70.33333333,C
S074,Student_74,F,88,82,70,240,80,B
S075,Student_75,M,76,58,79,213,71,C
S076,Student_76,F,58,55,82,195,65,D
S077,Student_77,F,64,65,77,206,68.66666667,D
S078,Student_78,F,64,78,96,238,79.33333333,C
S079,Student_79,M,75,52,82,209,69.66666667,D
S080,Student_80,F,91,69,54,214,71.33333333,C
S081,Student_81,M,62,85,97,244,81.33333333,B
S082,Student_82,F,81,68,68,217,72.33333333,C
S083,Student_83,M,88,75,53,216,72,C
S084,Student_84,F,98,52,84,234,78,C
S085,Student_85,M,81,68,98,247,82.33333333,B
S086,Student_86,M,53,69,66,188,62.66666667,D
S087,Student_87,F,79,81,93,253,84.33333333,B
S088,Student_88,M,86,56,77,219,73,C
S089,Student_89,F,72,90,79,241,80.33333333,B
S090,Student_90,F,88,82,78,248,82.66666667,B
S091,Student_91,F,94,89,95,278,92.66666667,A
S092,Student_92,F,64,88,55,207,69,D
S093,Student_93,F,92,67,84,243,81,B
S094,Student_94,F,78,89,90,257,85.66666667,B
S095,Student_95,F,85,50,86,221,73.66666667,C
S096,Student_96,F,62,60,73,195,65,D
S097,Student_97,F,81,77,78,236,78.66666667,C
S098,Student_98,F,56,74,98,228,76,C
S099,Student_99,F,71,99,95,265,88.33333333,B
S100,Student_100,M,77,72,80,229,76.33333333,C
